"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
"V50",0.21254,0.135788,0.191893,0.162324,0.162248,1,0.209048,0.0878442,0.219106,0.241535,0.128011,0.135976,0.246858,1,0.133807,0.135098,0.154988,0.18013,0.102832,0.196411,0.196966,0.185395,0.143023,0.21254,0.0715027,0.261731,0.202825,0.0691705,1,0.132501,1,1,1,0.13873,0.219106,0.233636,0.124574,0.292267,0.195258,0.170602,0.196659,0.0453273,0.122169,0.0478969,0.164594,0.161329,1,0.200695,0.106839,0.0777782,0.201045,1,0.226593,0.113034,0.0937847,0.0894513,0.216353,0.167094,0.187722,0.0849326,0.0901853,0.219106,0.202206,0.219106,0.21965,0.179731,0.150309,0.18295,0.137774,0.116153,0.128453,0.300216,1,0.0908604,0.150264,0.163341,0.125084,0.19932,0.150958,0.117509,0.170602,0.0883953,1,0.13094,0.143339,0.20618,0.136486,0.0544366,1,0.173859,0.189852,0.0601476,0.0993927,0.179886,0.177583,0.164022,0.18781,0.180896,0.0678039,0.211514,0.151971,0.134293,0.157444,0.215749,0.177462,0.164556,1,0.154988,1,0.178607,0.0860033,0.182484,0.219611,0.096272,1,0.180357,0.102698,0.12888,0.152675,0.184849,0.0926926,0.165471,0.120806,0.152321,0.107173,0.151074,1,0.186211,0.195795,0.116631,0.116007,0.145677,0.109597,0.185486,0.289294,0.177634,0.147194,0.167094,0.123578,1,0.219106,0.092079,0.145852,0.12111,0.188457,0.209625,0.0946865,0.0835118,0.129464,0.12031,0.219106,0.132501,0.0793878,0.0853872,0.202206,0.16909,1,0.131238,0.0795572,0.174259,0.191893,0.203521,0.219106,0.149162,0.12207,0.182576,0.152461,0.115081,1,0.0919797,0.105139,0.201363,0.200695,0.191893,0.164762,0.101256,1,0.143023,0.228501,0.238996,0.252682,0.23336,0.179268,0.188806,0.0539952,0.146504,0.181209,0.152461,0.193065,0.171773,0.0644476,0.196064,0.186211,0.131222,0.183271,0.172557,0.162248,1,1,0.16709,0.134161,0.185759,0.0849226,0.157846,0.258221,0.183126,0.117312,0.135098,0.0808646,0.132036,0.135206,0.111681,0.177634,0.130785,0.202206,0.0856049,0.0896442,0.159812,0.137116,0.189852,0.191893,0.0730508,0.159812,1,0.109897,0.219106,1,0.159283,1,0.174169,0.180315,0.137883,0.129843,0.159034,0.128788,1,0.170941,0.162841,0.168599,0.140911,0.128297,0.249235,0.152399,0.150125,1,0.154988,0.266717,0.191893,0.213252,0.114318
"V51",0.0296922,0.0978696,0.0654121,0.139724,0.103465,1,0.301475,0.151085,0.0180614,0.225404,0.185131,0.218706,0.335084,1,0.198433,0.0924916,0.113333,0.0802081,0.145678,0.180094,0.271542,0.192754,0.126923,0.0296922,0.153527,0.305177,0.228508,0.168736,1,0.121003,1,1,1,0.226768,0.0180614,0.090832,0.209372,0.339209,0.0614339,0.092006,0.13821,0.179138,0.0903709,0.177455,0.23935,0.0969267,1,0.052831,0.124273,0.150555,0,1,0.0906421,0.102429,0.134902,0.140791,0.123059,0.0827215,0.0683939,0.153045,0.154447,0.0180614,0.051806,0.0180614,0.126856,0.078668,0.188742,0.138818,0.172961,0.119839,0.180344,0.376537,1,0.161221,0.0728841,0.0653138,0.194504,0.191933,0.156881,0.123969,0.092006,0.134776,1,0.165941,0.267654,0.147341,0.19407,0.196331,1,0.210083,0.0659896,0.175849,0.153023,0.197999,0.224521,0.0629096,0.188361,0.228446,0.166804,0.265571,0.214348,0.265506,0.098154,0.230836,0.151567,0.196551,1,0.113333,1,0.0720144,0.14509,0.203639,0.267203,0.134806,1,0.167074,0.127917,0.122931,0.230217,0.165168,0.236754,0.0629096,0.108276,0.185213,0.130516,0.0726609,1,0.0694189,0.0819795,0.109858,0.109421,0.114819,0.118811,0.133372,0.358912,0.154206,0.177811,0.0827215,0.194744,1,0.0180614,0.133879,0.108314,0.0983322,0.177251,0.322137,0.133733,0.153629,0.238145,0.125855,0.0180614,0.121003,0.133595,0.138471,0.051806,0.0923872,1,0.185163,0.140118,0.0808455,0.0654121,0.285282,0.0180614,0.186656,0.114739,0.222873,0.105547,0.232459,1,0.131027,0.138228,0.17083,0.052831,0.0654121,0.101851,0.228723,1,0.126923,0.28132,0.300522,0.272985,0.337326,0.24756,0.0662455,0.17219,0.166112,0.158162,0.105547,0.0648631,0.194956,0.156729,0.169274,0.0694189,0.138651,0.0705266,0.185189,0.103465,1,1,0.11837,0.205774,0.0951619,0.151858,0.242144,0.311202,0.166281,0.114934,0.0924916,0.15469,0.181754,0.184343,0.117661,0.154206,0.1796,0.051806,0.149808,0.144068,0.0955404,0.163255,0.0659896,0.0654121,0.165163,0.0955404,1,0.126138,0.0180614,1,0.21286,1,0.0818015,0.248439,0.185557,0.0882852,0.216872,0.0884451,1,0.234118,0.0965455,0.118101,0.234319,0.183504,0.30485,0.126944,0.16356,1,0.113333,0.267437,0.0654121,0.111636,0.204683
"V52",0.0116308,0.115931,0.0473507,0.121663,0.0854032,1,0.312595,0.169146,0,0.220203,0.198609,0.232184,0.34398,1,0.216494,0.110553,0.095272,0.0621468,0.163739,0.193572,0.285021,0.187553,0.108861,0.0116308,0.171589,0.316718,0.243264,0.186797,1,0.102942,1,1,1,0.237888,0,0.0856318,0.227433,0.349119,0.0433725,0.0739446,0.14933,0.197199,0.108432,0.195517,0.249073,0.0788653,1,0.0347696,0.142334,0.168616,0.0180614,1,0.101762,0.12049,0.152963,0.158852,0.137815,0.0646601,0.0503325,0.171107,0.172508,0,0.0337446,0,0.141612,0.0606066,0.20222,0.120757,0.186439,0.137901,0.193823,0.388079,1,0.179282,0.0909455,0.0833752,0.207982,0.205411,0.174942,0.14203,0.0739446,0.152837,1,0.184002,0.278774,0.142141,0.212131,0.214392,1,0.223562,0.0479282,0.193911,0.171084,0.209119,0.237999,0.0809709,0.198085,0.243202,0.184866,0.277113,0.232409,0.276626,0.0800926,0.241956,0.133506,0.207671,1,0.095272,1,0.053953,0.163152,0.218395,0.277113,0.152868,1,0.18183,0.145978,0.104869,0.241337,0.147106,0.250233,0.0809709,0.126337,0.203275,0.148577,0.0907222,1,0.0513575,0.100041,0.12792,0.127482,0.0967577,0.136872,0.115311,0.367917,0.149005,0.195872,0.0646601,0.208223,1,0,0.15194,0.0902525,0.116394,0.190729,0.333679,0.151794,0.171691,0.251623,0.143917,0,0.102942,0.151657,0.156533,0.0337446,0.0743258,1,0.198641,0.158179,0.0627841,0.0473507,0.295006,0,0.200134,0.1328,0.237629,0.0874861,0.245937,1,0.149088,0.156289,0.16563,0.0347696,0.0473507,0.0837899,0.242201,1,0.108861,0.296076,0.315278,0.284527,0.352082,0.25868,0.0481841,0.190251,0.179591,0.1401,0.0874861,0.0468017,0.206076,0.174791,0.164074,0.0513575,0.12059,0.0524652,0.196309,0.0854032,1,1,0.136431,0.223836,0.113223,0.169919,0.253265,0.325958,0.177401,0.132996,0.110553,0.172751,0.195232,0.197821,0.135722,0.149005,0.193079,0.0337446,0.167869,0.16213,0.077479,0.176733,0.0479282,0.0473507,0.183224,0.077479,1,0.144199,0,1,0.227616,1,0.0637401,0.259559,0.199036,0.106347,0.227992,0.106506,1,0.247596,0.0784841,0.131579,0.252381,0.196982,0.31476,0.145005,0.177038,1,0.095272,0.278979,0.0473507,0.106436,0.218161
"V53",0.0925451,0.123041,0.128265,0.197513,0.157948,1,0.232156,0.176343,0.101762,0.286212,0.149168,0.189156,0.276577,1,0.222947,0.133201,0.171122,0.134691,0.185522,0.14632,0.24164,0.252893,0.184712,0.0925451,0.198601,0.249149,0.235851,0.193852,1,0.177512,1,1,1,0.155678,0.101762,0.14677,0.233885,0.27583,0.124287,0.146489,0.0475681,0.206485,0.114802,0.204803,0.178014,0.15141,1,0.115684,0.164982,0.175813,0.0906421,1,0,0.144196,0.160762,0.166049,0.12796,0.13923,0.131247,0.178304,0.179562,0.101762,0.114659,0.101762,0.131757,0.141521,0.157569,0.195327,0.139187,0.160549,0.144382,0.332114,1,0.186336,0.128328,0.120757,0.16136,0.169772,0.19759,0.149227,0.146489,0.17985,1,0.205785,0.193809,0.205305,0.219185,0.223153,1,0.1782,0.128843,0.218734,0.178824,0.116848,0.191258,0.118353,0.118657,0.234894,0.192063,0.215775,0.241557,0.188524,0.152637,0.159746,0.209356,0.125516,1,0.171122,1,0.134867,0.170349,0.210218,0.199727,0.160667,1,0.171975,0.177016,0.179439,0.156044,0.223852,0.203534,0.118353,0.150043,0.224312,0.171225,0.128104,1,0.132272,0.123747,0.151626,0.151189,0.171328,0.160578,0.189881,0.297104,0.212169,0.203662,0.13923,0.160772,1,0.101762,0.159051,0.164822,0.122763,0.142312,0.271476,0.175501,0.178888,0.206825,0.151706,0.101762,0.177512,0.156968,0.166208,0.114659,0.14687,1,0.150945,0.163491,0.143698,0.128265,0.228536,0.101762,0.154961,0.139911,0.229321,0.162056,0.199585,1,0.171736,0.164088,0.231638,0.115684,0.128265,0.156334,0.196105,1,0.184712,0.292783,0.31281,0.221466,0.349474,0.177751,0.129098,0.199537,0.128414,0.216846,0.162056,0.127716,0.119742,0.201803,0.228519,0.132272,0.19644,0.133379,0.107121,0.157948,1,1,0.143542,0.231411,0.120333,0.177116,0.169888,0.323067,0.082904,0.156702,0.133201,0.179948,0.14619,0.15153,0.159429,0.212169,0.143638,0.114659,0.175066,0.169929,0.152049,0.125556,0.128843,0.128265,0.190699,0.152049,1,0.175237,0.101762,1,0.219452,1,0.144654,0.178693,0.154525,0.112716,0.153268,0.112876,1,0.200145,0.151029,0.0821985,0.260701,0.149286,0.237019,0.152116,0.125862,1,0.171122,0.219154,0.128265,0.167575,0.169729
"V54",0.109842,0.0972696,0.0836012,0.133628,0.0880343,1,0.267287,0.104328,0.11906,0.225321,0.110167,0.147195,0.268817,1,0.143033,0.116225,0.12319,0.104112,0.0992633,0.1667,0.227963,0.174467,0.123614,0.109842,0.114852,0.244858,0.188687,0.106983,1,0.11497,1,1,1,0.168514,0.11906,0.126325,0.13165,0.296236,0.0884656,0.0996162,0.109564,0.136402,0.0345721,0.139316,0.207074,0.0955561,1,0.0931679,0.0918044,0.0865611,0.100998,1,0.142766,0.00749219,0.0866817,0.076221,0.131595,0.135387,0.0810077,0.090671,0.101136,0.11906,0.0955573,0.11906,0.133417,0.0726666,0.148001,0.130767,0.131074,0.0981717,0.141296,0.344323,1,0.0961843,0.0445482,0.0551124,0.14124,0.159237,0.113186,0.113942,0.0996162,0.12249,1,0.118559,0.217384,0.14627,0.14659,0.140873,1,0.193904,0.0843755,0.108597,0.110148,0.181516,0.169732,0.0557339,0.160335,0.165721,0.0984314,0.218505,0.173798,0.213565,0.0929971,0.203491,0.151159,0.159605,1,0.12319,1,0.0727076,0.0995843,0.158825,0.233578,0.0860866,1,0.100074,0.0919726,0.114401,0.194034,0.175658,0.177276,0.0584802,0.0640226,0.154379,0.102805,0.0435345,1,0.0786182,0.0869053,0.0614,0.0662561,0.126948,0.0588149,0.135275,0.323058,0.146829,0.135638,0.135387,0.1335,1,0.11906,0.0722551,0.115685,0.0317353,0.117313,0.242176,0.0534463,0.0917952,0.182302,0.122205,0.11906,0.11497,0.0690341,0.0978522,0.0955573,0.101405,1,0.137489,0.070398,0.0649162,0.0836012,0.234025,0.11906,0.186553,0.0872544,0.159798,0.119941,0.15352,1,0.085049,0.0955033,0.176588,0.0931679,0.0836012,0.10339,0.184705,1,0.123614,0.241321,0.246984,0.236314,0.298825,0.210368,0.0874003,0.125643,0.114247,0.167889,0.119941,0.0854546,0.145344,0.10792,0.162833,0.0786182,0.114187,0.0791729,0.147023,0.0880343,1,1,0.0873095,0.145933,0.103748,0.105524,0.197813,0.272396,0.154154,0.0591127,0.116225,0.0930454,0.146385,0.151305,0.0715227,0.146829,0.141154,0.0955573,0.0974371,0.0800084,0.123872,0.118533,0.0843755,0.0836012,0.0880244,0.123872,1,0.0894021,0.11906,1,0.171008,1,0.0629953,0.21189,0.151273,0.0417334,0.203495,0.0426565,1,0.175784,0.093767,0.0831795,0.189169,0.138094,0.257486,0.0764094,0.130932,1,0.12319,0.23847,0.0836012,0.111178,0.148589
"V55",0.134244,0.0404435,0.108351,0.118154,0.0851564,1,0.225787,0.0470974,0.142183,0.206497,0.0807082,0.139843,0.248485,1,0.0985172,0.0792085,0.106607,0.0897657,0.0656919,0.110844,0.19889,0.171691,0.108608,0.134244,0.0769526,0.20683,0.127552,0.0700348,1,0.098681,1,1,1,0.144965,0.142183,0.15148,0.109614,0.259656,0.129704,0.0778996,0.115379,0.075043,0.0447761,0.078093,0.148898,0.0700291,1,0.119028,0.0521694,0.045457,0.124121,1,0.149293,0.0762613,0.0328277,0.0304498,0.136464,0.113061,0.103635,0.0489991,0.060246,0.142183,0.120976,0.142183,0.139739,0.11072,0.0987956,0.120155,0.0816863,0.059189,0.0850257,0.298301,1,0.0594521,0.0643032,0.0801106,0.106986,0.121075,0.073296,0.0567134,0.0778996,0.0881674,1,0.0867121,0.182442,0.113977,0.0968151,0.100422,1,0.135317,0.106381,0.0943798,0.0618862,0.120953,0.130803,0.0980039,0.0908877,0.132094,0.068968,0.182486,0.124467,0.17145,0.0677949,0.152254,0.128788,0.114913,1,0.106607,1,0.0976193,0.0415832,0.0851854,0.181973,0.0317528,1,0.1201,0.0699406,0.0974251,0.137105,0.154523,0.141916,0.0828569,0.0267212,0.118222,0.0635461,0.0653473,1,0.101687,0.114085,0.0250883,0.0269141,0.106223,0.0363038,0.107527,0.26425,0.128859,0.0723114,0.113061,0.10618,1,0.142183,0.0170458,0.0940015,0.0522106,0.132892,0.231952,0.0544007,0.0505122,0.155927,0.0672414,0.142183,0.098681,0.0299553,0.0802988,0.120976,0.0759511,1,0.0961713,0.028443,0.10723,0.108351,0.204188,0.142183,0.133009,0.0236373,0.116986,0.0994308,0.142626,1,0.0448949,0.0314549,0.174637,0.119028,0.108351,0.0865265,0.132444,1,0.108608,0.192686,0.21667,0.181174,0.251894,0.178862,0.105928,0.069715,0.0630409,0.147128,0.0994308,0.109862,0.101284,0.0745183,0.150308,0.101687,0.120588,0.0978962,0.0824931,0.0851564,1,1,0.0741121,0.116421,0.0972423,0.0480242,0.167285,0.221207,0.0889373,0.0429816,0.0792085,0.0519807,0.107975,0.0906362,0.0339377,0.128859,0.0803089,0.120976,0.0544617,0.0438597,0.103671,0.054973,0.106381,0.108351,0.0658848,0.103671,1,0.0665264,0.142183,1,0.114694,1,0.108605,0.167912,0.102423,0.0455532,0.168488,0.0466991,1,0.142086,0.0719777,0.0867664,0.157512,0.0905312,0.23661,0.0685966,0.0664591,1,0.106607,0.187133,0.108351,0.129021,0.111316
"V56",0.144828,0.0551083,0.115238,0.129076,0.104425,1,0.233766,0.0446994,0.15196,0.22152,0.0813089,0.133599,0.239281,1,0.0823456,0.0805158,0.10074,0.104522,0.0684085,0.119633,0.170038,0.184279,0.114993,0.144828,0.0847873,0.214511,0.123896,0.062013,1,0.107181,1,1,1,0.153118,0.15196,0.160822,0.0989209,0.238905,0.138574,0.0919302,0.121819,0.0919491,0.0775736,0.0871704,0.159023,0.0964824,1,0.126183,0.0461918,0.0322607,0.133898,1,0.159157,0.090664,0.0358732,0.0194604,0.147871,0.11645,0.120036,0.0511689,0.0411832,0.15196,0.128843,0.15196,0.150385,0.12781,0.10554,0.122954,0.0863421,0.0507267,0.0882006,0.305995,1,0.0668889,0.0865335,0.083486,0.115473,0.110203,0.0734889,0.0481806,0.0919302,0.0886572,1,0.091506,0.171454,0.140766,0.103105,0.0831514,1,0.151306,0.123786,0.108702,0.0705202,0.118327,0.121922,0.106015,0.105696,0.149277,0.0733021,0.175513,0.134306,0.164228,0.0948639,0.145441,0.139512,0.121355,1,0.10074,1,0.121158,0.0473825,0.116015,0.18076,0.0350071,1,0.152743,0.0975439,0.115624,0.140735,0.154942,0.131047,0.0872353,0.0537217,0.113703,0.054688,0.0856294,1,0.117376,0.123508,0.0518653,0.0523945,0.101007,0.0617842,0.11819,0.280342,0.143385,0.0753087,0.11645,0.115697,1,0.15196,0.0538152,0.0941807,0.0829629,0.152892,0.215581,0.0790604,0.0539276,0.165093,0.0556289,0.15196,0.107181,0.0454098,0.0760087,0.128843,0.0935241,1,0.0711899,0.0507,0.128737,0.115238,0.19263,0.15196,0.126158,0.0380752,0.135344,0.0942147,0.131491,1,0.0598159,0.0314426,0.178956,0.126183,0.115238,0.102006,0.138626,1,0.114993,0.201028,0.197563,0.178823,0.260753,0.1518,0.118626,0.0854207,0.0738069,0.148107,0.0942147,0.113385,0.100146,0.0888545,0.153171,0.117376,0.133601,0.121381,0.102448,0.104425,1,1,0.0887395,0.124361,0.108781,0.0479374,0.162256,0.229904,0.107199,0.0517445,0.0805158,0.0579859,0.105581,0.100722,0.066726,0.143385,0.0841313,0.128843,0.045207,0.040801,0.103631,0.0769835,0.123786,0.115238,0.057752,0.103631,1,0.0830661,0.15196,1,0.121118,1,0.128791,0.175414,0.108756,0.0740323,0.167957,0.0748496,1,0.146386,0.0948886,0.106209,0.128301,0.0965106,0.216919,0.10248,0.0848345,1,0.10074,0.179062,0.115238,0.15418,0.102949
"V57",0.128598,0.120469,0.138393,0.21137,0.169873,1,0.319044,0.166965,0.137815,0.250976,0.19013,0.232585,0.252992,1,0.214214,0.130629,0.183048,0.14482,0.176144,0.182622,0.279108,0.217171,0.199161,0.128598,0.18823,0.214067,0.133255,0.188766,1,0.191368,1,1,1,0.242263,0.137815,0.101762,0.228116,0.261471,0.134415,0.158415,0.132969,0.194302,0.103753,0.191123,0.248285,0.164471,1,0.133239,0.148316,0.168451,0.123059,1,0.12796,0.133985,0.154228,0.157727,0,0.149358,0.143172,0.170104,0.171886,0.137815,0.132214,0.137815,0.0196883,0.153447,0.198357,0.208389,0.181771,0.145256,0.184659,0.298447,1,0.18069,0.11311,0.106913,0.205335,0.205434,0.184761,0.137385,0.158415,0.17225,1,0.194827,0.280663,0.166897,0.215203,0.213608,1,0.212646,0.140768,0.207922,0.177465,0.197503,0.234001,0.104509,0.192312,0.13362,0.186666,0.174901,0.239367,0.276562,0.166493,0.24449,0.223212,0.211747,1,0.183048,1,0.147929,0.16307,0.0985759,0.22619,0.154132,1,0.0545266,0.17325,0.194352,0.240393,0.237708,0.243398,0.104509,0.133978,0.215907,0.154559,0.112887,1,0.144197,0.121776,0.13782,0.137382,0.184389,0.146772,0.203737,0.288342,0.173761,0.196836,0.149358,0.203802,1,0.137815,0.147401,0.177884,0.110536,0.183224,0.235426,0.166117,0.171609,0.250692,0.142416,0.137815,0.191368,0.146923,0.152074,0.132214,0.158796,1,0.190005,0.151718,0.15676,0.138393,0.301354,0.137815,0.186685,0.124618,0.128047,0.173982,0.239273,1,0.160086,0.15471,0.195564,0.133239,0.138393,0.169396,0.23522,1,0.199161,0.191854,0.209746,0.188155,0.250917,0.260451,0.139227,0.186542,0.165435,0.230702,0.173982,0.137844,0.20525,0.188725,0.190763,0.144197,0.212037,0.145305,0.192199,0.169873,1,1,0.126875,0.230574,0.117761,0.168917,0.255228,0.223717,0.163251,0.142896,0.130629,0.173413,0.177235,0.183711,0.145622,0.173761,0.182118,0.132214,0.166867,0.16265,0.162177,0.164375,0.140768,0.138393,0.186658,0.162177,1,0.165714,0.137815,1,0.110952,1,0.158511,0.26488,0.197261,0.0989098,0.234795,0.0990696,1,0.24273,0.16409,0.110647,0.257739,0.190709,0.223038,0.141387,0.162883,1,0.183048,0.179455,0.138393,0.126948,0.212099
"V58",0.0567208,0.0989886,0.0665163,0.0712674,0.0589156,1,0.26661,0.112567,0.0646601,0.173386,0.170626,0.193253,0.319034,1,0.165812,0.0586892,0.0439611,0.0370141,0.115415,0.173746,0.241578,0.140682,0.0616452,0.0567208,0.115603,0.298749,0.209477,0.135227,1,0.0447473,1,1,1,0.188586,0.0646601,0.0971751,0.179223,0.293491,0.062538,0.047457,0.162671,0.145596,0.124296,0.142939,0.193451,0.0512959,1,0.0613615,0.0811787,0.135267,0.0827215,1,0.13923,0.137191,0.120644,0.125699,0.149358,0,0.0712952,0.116345,0.120531,0.0646601,0.0603365,0.0646601,0.160582,0.0815693,0.155237,0.0835672,0.155942,0.0732406,0.139005,0.346552,1,0.130213,0.111908,0.102541,0.158251,0.167492,0.139117,0.0843561,0.047457,0.0915902,1,0.132238,0.228969,0.110801,0.162879,0.168288,1,0.204872,0.0688909,0.14926,0.125574,0.181037,0.201843,0.100136,0.168168,0.225918,0.131918,0.22272,0.189786,0.224024,0.0542953,0.206814,0.0825359,0.175211,1,0.0439611,1,0.0760519,0.108854,0.187055,0.229919,0.120549,1,0.197694,0.115695,0.0489553,0.185701,0.101159,0.197717,0.100136,0.0998496,0.157796,0.0857144,0.111685,1,0.0723202,0.119011,0.10035,0.0999129,0.0367382,0.109303,0.0794856,0.341326,0.0915155,0.162792,0,0.157409,1,0.0646601,0.123412,0.0312635,0.131665,0.204481,0.302828,0.128157,0.117392,0.211709,0.0856535,0.0646601,0.0447473,0.124335,0.121023,0.0603365,0.0478382,1,0.142162,0.130114,0.0848829,0.0665163,0.248343,0.0646601,0.142714,0.103103,0.211864,0.0263304,0.201427,1,0.0927111,0.12202,0.117974,0.0613615,0.0665163,0.0615905,0.189198,1,0.0616452,0.24882,0.271022,0.251934,0.309985,0.212269,0.0673497,0.139201,0.150469,0.0960721,0.0263304,0.0659672,0.183908,0.119973,0.129805,0.0723202,0.0754626,0.0734279,0.171955,0.0589156,1,1,0.145207,0.178706,0.127628,0.113933,0.207135,0.278956,0.147704,0.105427,0.0586892,0.119231,0.159032,0.178001,0.113523,0.0915155,0.137204,0.0603365,0.111883,0.128976,0.012819,0.147427,0.0688909,0.0665163,0.132387,0.012819,1,0.113453,0.0646601,1,0.173318,1,0.0866334,0.210189,0.150893,0.120823,0.176399,0.120983,1,0.216717,0.0509147,0.146056,0.211301,0.144405,0.259904,0.156768,0.151069,1,0.0439611,0.247905,0.0665163,0.120913,0.163684
"V59",0.0269077,0.117535,0.0227011,0.0929574,0.0529634,1,0.290128,0.137543,0.0385385,0.192697,0.1721,0.209302,0.318432,1,0.185456,0.112157,0.0710716,0.0557099,0.133441,0.185736,0.264057,0.157848,0.079311,0.0269077,0.144419,0.289878,0.216659,0.160853,1,0.0734284,1,1,1,0.21263,0.0385385,0.079195,0.197728,0.330004,0.0345221,0.0476584,0.123044,0.167966,0.0783891,0.169496,0.216021,0.044174,1,0.0326823,0.117326,0.141716,0.0565999,1,0.119453,0.0931225,0.126594,0.129886,0.131378,0.0595012,0.011794,0.140252,0.146488,0.0385385,0.0316573,0.0385385,0.141938,0.0257533,0.173986,0.0971824,0.161027,0.116943,0.163552,0.360475,1,0.15189,0.052407,0.0587256,0.181197,0.181837,0.146216,0.137679,0.0476584,0.144436,1,0.154294,0.251015,0.10973,0.187113,0.185972,1,0.217159,0.00938971,0.167575,0.144881,0.188969,0.210492,0.0721205,0.17451,0.217225,0.158688,0.257247,0.205232,0.249842,0.0477082,0.222841,0.101903,0.18377,1,0.0710716,1,0.0197455,0.134186,0.185984,0.24976,0.126928,1,0.151106,0.117797,0.0766886,0.21072,0.125907,0.225436,0.0563213,0.0902123,0.181073,0.123569,0.0521837,1,0.012819,0.100367,0.0932286,0.0964761,0.0731831,0.105866,0.0865853,0.341623,0.119492,0.164834,0.0595012,0.184913,1,0.0385385,0.120278,0.0666778,0.0827048,0.163828,0.30997,0.124686,0.14142,0.226631,0.14013,0.0385385,0.0734284,0.125958,0.150567,0.0316573,0.0480396,1,0.177442,0.13053,0.0278957,0.0227011,0.265954,0.0385385,0.19677,0.111842,0.211652,0.0624778,0.219551,1,0.117426,0.128371,0.1614,0.0326823,0.0227011,0.0527837,0.216257,1,0.079311,0.269873,0.289424,0.258507,0.326805,0.238905,0.0235345,0.165625,0.157018,0.118901,0.0624778,0.0221521,0.180056,0.146737,0.14231,0.012819,0.0946126,0.0139267,0.16601,0.0529634,1,1,0.111423,0.198644,0.114828,0.139064,0.234149,0.29878,0.172242,0.108143,0.112157,0.144258,0.186831,0.175054,0.101031,0.119492,0.161476,0.0316573,0.146853,0.135545,0.0723202,0.147871,0.00938971,0.0227011,0.155687,0.0723202,1,0.112537,0.0385385,1,0.19865,1,0.0318528,0.236566,0.170945,0.0716553,0.220156,0.0718152,1,0.222969,0.0437928,0.096888,0.232947,0.170174,0.310108,0.116144,0.144628,1,0.0710716,0.255766,0.0227011,0.0717448,0.19308
